case_id,image_path,label_path,image_exists,label_exists,dimensions_xyz,voxel_spacing_mm,min_hu,max_hu,mean_hu,label_voxel_count,unique_label_values,primary_benchmark_split
1,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\1.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\1.label.nii\label.nii,True,True,512x512x275,0.3770x0.3770x0.5000,-1024.0,3071.0,-212.8,108270,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
2,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\2.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\2.label.nii\label.nii,True,True,512x512x275,0.3711x0.3711x0.5000,-1024.0,3071.0,-159.9,93193,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
3,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\3.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,114805,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
4,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\4.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,173198,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
5,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\5.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,89806,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
6,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\6.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,61714,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
7,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\7.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,140734,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
8,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\8.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\8.label.nii\label.nii,True,True,512x512x275,0.3184x0.3184x0.5000,-1024.0,2114.0,-408.1,141523,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
9,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\9.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\9.label.nii\label.nii,True,True,512x512x275,0.3906x0.3906x0.5000,-1024.0,3071.0,-387.4,114221,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
10,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\10.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,102002,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
11,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\11.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\11.label.nii\label.nii,True,True,512x512x275,0.3301x0.3301x0.5000,-1024.0,2341.0,-194.9,70200,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
12,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\12.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\12.label.nii\label.nii,True,True,512x512x275,0.3652x0.3652x0.5000,-1024.0,3071.0,-160.0,101053,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
13,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\13.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,131629,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
14,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\14.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\14.label.nii\label.nii,True,True,512x512x275,0.3184x0.3184x0.5000,-1024.0,2202.0,-282.5,158299,"[0.0, 1.0]",Primary_Val
15,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\15.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\15.label.nii\label.nii,True,True,512x512x206,0.3574x0.3574x0.5000,-1024.0,1811.0,-204.2,125990,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
16,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\16.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,99848,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
17,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\17.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\17.label.nii\label.nii,True,True,512x512x275,0.4297x0.4297x0.5000,-1024.0,3070.0,-240.0,81889,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
18,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\18.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\18.label.nii\label.nii,True,True,512x512x206,0.3184x0.3184x0.5000,-1024.0,1848.0,-167.7,77446,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
19,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\19.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\19.label.nii\label.nii,True,True,512x512x275,0.3184x0.3184x0.5000,-1024.0,3070.0,-283.5,124083,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
20,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\20.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\20.label.nii\label.nii,True,True,512x512x275,0.4062x0.4062x0.5000,-1024.0,2103.0,-135.5,160011,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
21,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\21.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,87867,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
22,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\22.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\22.label.nii\label.nii,True,True,512x512x275,0.3418x0.3418x0.5000,-1024.0,3069.0,-106.4,135651,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
23,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\23.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,90188,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
24,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\24.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\24.label.nii\label.nii,True,True,512x512x275,0.3496x0.3496x0.5000,-1024.0,3071.0,-246.9,144465,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
25,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\25.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\25.label.nii\label.nii,True,True,512x512x245,0.4141x0.4141x0.5000,-1024.0,1500.0,-145.4,105613,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
26,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\26.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,83141,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
27,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\27.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,142977,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
28,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\28.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,97134,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
