Dataset,Model,Metric,Mean,95% CI Lower,95% CI Upper,CI_Span
3D CAS External (N=134),RASNet,DICE,0.7765,0.7658,0.7864,0.0205
3D CAS External (N=134),RASNet,IOU,0.6387,0.6251,0.6517,0.0265
3D CAS External (N=134),RASNet,PRECISION,0.8759,0.8679,0.8835,0.0156
3D CAS External (N=134),RASNet,RECALL,0.7031,0.6876,0.7181,0.0305
3D CAS External (N=134),RASNet,HD95,29.3828,27.2894,31.6294,4.34
3D CAS External (N=134),RASNet,ASD,1.5091,1.3083,1.7261,0.4177
3D CAS External (N=134),RASNet,CLDICE,0.8585,0.8462,0.8705,0.0243
3D CAS External (N=134),nnU-Net,DICE,0.5574,0.5331,0.5811,0.0479
3D CAS External (N=134),nnU-Net,IOU,0.4001,0.3778,0.4223,0.0444
3D CAS External (N=134),nnU-Net,PRECISION,0.7925,0.7807,0.8034,0.0227
3D CAS External (N=134),nnU-Net,RECALL,0.4559,0.4269,0.4843,0.0575
3D CAS External (N=134),nnU-Net,HD95,58.1327,55.3748,60.9781,5.6032
3D CAS External (N=134),nnU-Net,ASD,7.187,6.3992,8.0127,1.6135
3D CAS External (N=134),nnU-Net,CLDICE,0.5693,0.5386,0.5994,0.0608
3D CAS External (N=134),V-Net,DICE,0.7669,0.7548,0.7777,0.0229
3D CAS External (N=134),V-Net,IOU,0.6266,0.6119,0.6403,0.0283
3D CAS External (N=134),V-Net,PRECISION,0.8424,0.8298,0.8533,0.0236
3D CAS External (N=134),V-Net,RECALL,0.7101,0.6947,0.7248,0.0301
3D CAS External (N=134),V-Net,HD95,30.9232,28.7152,33.1096,4.3944
3D CAS External (N=134),V-Net,ASD,1.8849,1.525,2.3239,0.7989
3D CAS External (N=134),V-Net,CLDICE,0.8446,0.8307,0.8573,0.0266
3D CAS External (N=134),SegResNet,DICE,0.7883,0.7776,0.7984,0.0208
3D CAS External (N=134),SegResNet,IOU,0.6548,0.6412,0.6676,0.0265
3D CAS External (N=134),SegResNet,PRECISION,0.8409,0.8274,0.8527,0.0253
3D CAS External (N=134),SegResNet,RECALL,0.7461,0.7331,0.7586,0.0255
3D CAS External (N=134),SegResNet,HD95,27.0431,24.9857,29.2181,4.2323
3D CAS External (N=134),SegResNet,ASD,1.3672,1.0855,1.7263,0.6408
3D CAS External (N=134),SegResNet,CLDICE,0.868,0.8537,0.8807,0.027
3D CAS External (N=134),3D U-Net,DICE,0.0,0.0,0.0,0.0
3D CAS External (N=134),3D U-Net,IOU,0.0,0.0,0.0,0.0
3D CAS External (N=134),3D U-Net,PRECISION,0.0,0.0,0.0,0.0
3D CAS External (N=134),3D U-Net,RECALL,0.0,0.0,0.0,0.0
3D CAS External (N=134),3D U-Net,HD95,37.0049,28.8267,46.5295,17.7028
3D CAS External (N=134),3D U-Net,ASD,15.7315,10.8074,21.4499,10.6425
3D CAS External (N=134),3D U-Net,CLDICE,0.0,0.0,0.0,0.0
