Comparison,Metric,Sample_Size_N,Champ_Mean,Comp_Mean,Wilcoxon_Stat,P_Value_Raw,P_Value_Holm_Bonferroni,Significant_p_005,Effect_Direction
RASNet vs nnU-Net,DICE,134,0.7765,0.5574,5.0,1.0972e-23,7.6807e-23,YES,RASNet Superior (+0.2190)
RASNet vs nnU-Net,IOU,134,0.6387,0.4001,5.0,1.0972e-23,6.5834e-23,YES,RASNet Superior (+0.2386)
RASNet vs nnU-Net,CLDICE,134,0.8585,0.5693,8.0,1.1738e-23,5.8691e-23,YES,RASNet Superior (+0.2893)
RASNet vs nnU-Net,ASD,134,1.5091,7.187,43.0,2.5707e-23,1.0283e-22,YES,RASNet Better (Lower Error)
RASNet vs nnU-Net,RECALL,134,0.7031,0.4559,54.0,3.2848e-23,9.8544e-23,YES,RASNet Superior (+0.2472)
RASNet vs nnU-Net,HD95,134,29.3828,58.1327,102.0,9.5073e-23,1.9015e-22,YES,RASNet Better (Lower Error)
RASNet vs nnU-Net,PRECISION,134,0.8759,0.7925,364.0,2.5777e-20,2.5777e-20,YES,RASNet Superior (+0.0834)
RASNet vs V-Net,PRECISION,134,0.8759,0.8424,313.0,8.8922e-21,6.2245e-20,YES,RASNet Superior (+0.0335)
RASNet vs V-Net,ASD,134,1.5091,1.8849,2979.0,6.0847e-04,0.0037,YES,RASNet Better (Lower Error)
RASNet vs V-Net,CLDICE,134,0.8585,0.8446,3027.0,8.9627e-04,0.0045,YES,RASNet Superior (+0.0139)
RASNet vs V-Net,RECALL,134,0.7031,0.7101,3103.0,0.0016,0.0065,YES,V-Net Superior
RASNet vs V-Net,IOU,134,0.6387,0.6266,3176.0,0.0028,0.0084,YES,RASNet Superior (+0.0121)
RASNet vs V-Net,DICE,134,0.7765,0.7669,3216.0,0.0037,0.0074,YES,RASNet Superior (+0.0095)
RASNet vs V-Net,HD95,134,29.3828,30.9232,3810.0,0.1472,0.1472,NO,RASNet Better (Lower Error)
RASNet vs SegResNet,PRECISION,134,0.8759,0.8409,1.0,1.0028e-23,7.0194e-23,YES,RASNet Superior (+0.0351)
RASNet vs SegResNet,RECALL,134,0.7031,0.7461,287.0,5.1433e-21,3.0860e-20,YES,SegResNet Superior
RASNet vs SegResNet,IOU,134,0.6387,0.6548,2238.0,3.9072e-07,1.9536e-06,YES,SegResNet Superior
RASNet vs SegResNet,DICE,134,0.7765,0.7883,2245.0,4.2394e-07,1.6958e-06,YES,SegResNet Superior
RASNet vs SegResNet,HD95,134,29.3828,27.0431,2914.0,3.5404e-04,0.0011,YES,SegResNet Better
RASNet vs SegResNet,ASD,134,1.5091,1.3672,3026.0,8.8917e-04,0.0018,YES,SegResNet Better
RASNet vs SegResNet,CLDICE,134,0.8585,0.868,3305.0,0.0069,0.0069,YES,SegResNet Superior
RASNet vs 3D U-Net,DICE,134,0.7765,0.0,0.0,9.8044e-24,6.8631e-23,YES,RASNet Superior (+0.7765)
RASNet vs 3D U-Net,IOU,134,0.6387,0.0,0.0,9.8044e-24,5.8827e-23,YES,RASNet Superior (+0.6387)
RASNet vs 3D U-Net,PRECISION,134,0.8759,0.0,0.0,9.8044e-24,4.9022e-23,YES,RASNet Superior (+0.8759)
RASNet vs 3D U-Net,RECALL,134,0.7031,0.0,0.0,9.8044e-24,3.9218e-23,YES,RASNet Superior (+0.7031)
RASNet vs 3D U-Net,CLDICE,134,0.8585,0.0,0.0,9.8044e-24,2.9413e-23,YES,RASNet Superior (+0.8585)
RASNet vs 3D U-Net,ASD,134,1.5091,15.7315,885.0,6.5744e-16,1.3149e-15,YES,RASNet Better (Lower Error)
RASNet vs 3D U-Net,HD95,134,29.3828,37.0049,2851.0,2.0557e-04,2.0557e-04,YES,RASNet Better (Lower Error)
