Dataset,Model,Metric,Mean,95% CI Lower,95% CI Upper,CI_Span
Primary Benchmark (N=150),RASNet,DICE,0.7765,0.7648,0.7867,0.0219
Primary Benchmark (N=150),RASNet,IOU,0.6396,0.625,0.6523,0.0273
Primary Benchmark (N=150),RASNet,PRECISION,0.8801,0.8715,0.8881,0.0166
Primary Benchmark (N=150),RASNet,RECALL,0.7016,0.685,0.7159,0.0309
Primary Benchmark (N=150),RASNet,HD95,10.2924,8.7938,12.0175,3.2237
Primary Benchmark (N=150),RASNet,ASD,1.5981,1.341,1.9184,0.5774
Primary Benchmark (N=150),RASNet,CLDICE,0.8592,0.8478,0.8696,0.0218
Primary Benchmark (N=150),nnU-Net,DICE,0.7687,0.7577,0.7794,0.0217
Primary Benchmark (N=150),nnU-Net,IOU,0.6289,0.6149,0.6426,0.0277
Primary Benchmark (N=150),nnU-Net,PRECISION,0.7391,0.7236,0.7539,0.0303
Primary Benchmark (N=150),nnU-Net,RECALL,0.8106,0.7994,0.8209,0.0216
Primary Benchmark (N=150),nnU-Net,HD95,21.0983,18.339,23.9246,5.5856
Primary Benchmark (N=150),nnU-Net,ASD,3.0966,2.6855,3.5367,0.8512
Primary Benchmark (N=150),nnU-Net,CLDICE,0.8201,0.8081,0.8321,0.024
Primary Benchmark (N=150),V-Net,DICE,0.7474,0.7365,0.7573,0.0209
Primary Benchmark (N=150),V-Net,IOU,0.6006,0.5871,0.6131,0.026
Primary Benchmark (N=150),V-Net,PRECISION,0.7545,0.7383,0.7699,0.0316
Primary Benchmark (N=150),V-Net,RECALL,0.7499,0.7391,0.76,0.0209
Primary Benchmark (N=150),V-Net,HD95,21.805,18.805,24.9106,6.1056
Primary Benchmark (N=150),V-Net,ASD,3.1758,2.7458,3.6275,0.8818
Primary Benchmark (N=150),V-Net,CLDICE,0.8075,0.7952,0.8195,0.0243
Primary Benchmark (N=150),SegResNet,DICE,0.7469,0.7366,0.7569,0.0203
Primary Benchmark (N=150),SegResNet,IOU,0.6001,0.5875,0.6122,0.0247
Primary Benchmark (N=150),SegResNet,PRECISION,0.7313,0.7163,0.7455,0.0292
Primary Benchmark (N=150),SegResNet,RECALL,0.7713,0.7607,0.7809,0.0201
Primary Benchmark (N=150),SegResNet,HD95,31.4775,28.5235,34.3201,5.7965
Primary Benchmark (N=150),SegResNet,ASD,4.6614,4.2195,5.1231,0.9036
Primary Benchmark (N=150),SegResNet,CLDICE,0.7769,0.7638,0.7898,0.026
Primary Benchmark (N=150),3D U-Net,DICE,0.5561,0.5486,0.5631,0.0144
Primary Benchmark (N=150),3D U-Net,IOU,0.3865,0.3794,0.3931,0.0137
Primary Benchmark (N=150),3D U-Net,PRECISION,0.6069,0.5964,0.6168,0.0203
Primary Benchmark (N=150),3D U-Net,RECALL,0.5178,0.5088,0.5258,0.017
Primary Benchmark (N=150),3D U-Net,HD95,9.878,8.7511,11.0705,2.3194
Primary Benchmark (N=150),3D U-Net,ASD,1.6903,1.5307,1.8654,0.3346
Primary Benchmark (N=150),3D U-Net,CLDICE,0.7027,0.6923,0.712,0.0198
