Comparison,Metric,Sample_Size_N,Champ_Mean,Comp_Mean,Wilcoxon_Stat,P_Value_Raw,P_Value_Holm_Bonferroni,Significant_p_005,Effect_Direction
RASNet vs SegResNet,PRECISION,150,0.8801,0.7313,0.0,2.2996e-26,1.6097e-25,YES,RASNet Superior (+0.1488)
RASNet vs SegResNet,RECALL,150,0.7016,0.7713,0.0,2.2996e-26,1.3798e-25,YES,SegResNet Superior
RASNet vs SegResNet,ASD,150,1.5981,4.6614,445.0,1.2518e-22,6.2592e-22,YES,RASNet Better (Lower Error)
RASNet vs SegResNet,CLDICE,150,0.8592,0.7769,649.0,5.1280e-21,2.0512e-20,YES,RASNet Superior (+0.0823)
RASNet vs SegResNet,HD95,150,10.2924,31.4775,650.0,5.2203e-21,1.5661e-20,YES,RASNet Better (Lower Error)
RASNet vs SegResNet,IOU,150,0.6396,0.6001,1819.0,5.5409e-13,1.1082e-12,YES,RASNet Superior (+0.0395)
RASNet vs SegResNet,DICE,150,0.7765,0.7469,1929.0,2.4709e-12,2.4709e-12,YES,RASNet Superior (+0.0296)
RASNet vs nnU-Net,PRECISION,150,0.8801,0.7391,0.0,2.2996e-26,1.6097e-25,YES,RASNet Superior (+0.1410)
RASNet vs nnU-Net,RECALL,150,0.7016,0.8106,0.0,2.2996e-26,1.3798e-25,YES,nnU-Net Superior
RASNet vs nnU-Net,ASD,150,1.5981,3.0966,1879.0,1.2589e-12,6.2944e-12,YES,RASNet Better (Lower Error)
RASNet vs nnU-Net,HD95,150,10.2924,21.0983,2227.0,1.1498e-10,4.5991e-10,YES,RASNet Better (Lower Error)
RASNet vs nnU-Net,CLDICE,150,0.8592,0.8201,2430.0,1.3200e-09,3.9600e-09,YES,RASNet Superior (+0.0391)
RASNet vs nnU-Net,IOU,150,0.6396,0.6289,4818.0,0.1131,0.2262,NO,RASNet Superior (+0.0106)
RASNet vs nnU-Net,DICE,150,0.7765,0.7687,4823.0,0.1152,0.1152,NO,RASNet Superior (+0.0078)
RASNet vs 3D U-Net,DICE,150,0.7765,0.5561,0.0,2.2996e-26,1.6097e-25,YES,RASNet Superior (+0.2205)
RASNet vs 3D U-Net,IOU,150,0.6396,0.3865,0.0,2.2996e-26,1.3798e-25,YES,RASNet Superior (+0.2531)
RASNet vs 3D U-Net,PRECISION,150,0.8801,0.6069,0.0,2.2996e-26,1.1498e-25,YES,RASNet Superior (+0.2732)
RASNet vs 3D U-Net,CLDICE,150,0.8592,0.7027,38.0,4.9248e-26,1.9699e-25,YES,RASNet Superior (+0.1566)
RASNet vs 3D U-Net,RECALL,150,0.7016,0.5178,43.0,5.4418e-26,1.6326e-25,YES,RASNet Superior (+0.1838)
RASNet vs 3D U-Net,ASD,150,1.5981,1.6903,3821.0,5.5010e-04,0.0011,YES,RASNet Better (Lower Error)
RASNet vs 3D U-Net,HD95,150,10.2924,9.878,4975.0,0.1971,0.1971,NO,3D U-Net Better
