Model,Metric,Mean,CI_Lower_95,CI_Upper_95
RASNET,DICE,0.7497,0.7357,0.764
RASNET,IOU,0.6033,0.5851,0.6219
RASNET,PRECISION,0.7803,0.762,0.798
RASNET,RECALL,0.7274,0.7081,0.7461
RASNET,SPECIFICITY,0.9996,0.9996,0.9997
RASNET,HD95_MM,15.7227,12.3163,19.5076
RASNET,ASD_MM,2.3474,1.9797,2.7676
RASNET,CLDICE,0.8183,0.8024,0.8337
RASNET,CENTERLINE_RECALL,0.8502,0.8343,0.8654
RASNET_THRESH05,DICE,0.7493,0.7353,0.7635
RASNET_THRESH05,IOU,0.6027,0.5847,0.6212
RASNET_THRESH05,PRECISION,0.7859,0.7678,0.8034
RASNET_THRESH05,RECALL,0.7217,0.7023,0.7406
RASNET_THRESH05,SPECIFICITY,0.9997,0.9996,0.9997
RASNET_THRESH05,HD95_MM,15.4944,12.1164,19.2202
RASNET_THRESH05,ASD_MM,2.3051,1.9472,2.7153
RASNET_THRESH05,CLDICE,0.819,0.8031,0.8343
RASNET_THRESH05,CENTERLINE_RECALL,0.846,0.8298,0.8614
SEGRESNET,DICE,0.7369,0.7218,0.7511
SEGRESNET,IOU,0.587,0.5686,0.6046
SEGRESNET,PRECISION,0.7239,0.703,0.7447
SEGRESNET,RECALL,0.7578,0.7409,0.775
SEGRESNET,SPECIFICITY,0.9995,0.9994,0.9995
SEGRESNET,HD95_MM,25.7737,21.249,30.6245
SEGRESNET,ASD_MM,4.0625,3.5083,4.6561
SEGRESNET,CLDICE,0.7775,0.7597,0.7939
SEGRESNET,CENTERLINE_RECALL,0.8721,0.8572,0.8862
VNET,DICE,0.7272,0.7108,0.7426
VNET,IOU,0.5755,0.5558,0.5944
VNET,PRECISION,0.7286,0.7046,0.7519
VNET,RECALL,0.7353,0.7166,0.7537
VNET,SPECIFICITY,0.9995,0.9994,0.9996
VNET,HD95_MM,21.1055,16.7728,26.0873
VNET,ASD_MM,3.2753,2.6594,4.06
VNET,CLDICE,0.789,0.7703,0.8064
VNET,CENTERLINE_RECALL,0.8426,0.8275,0.8574
NNUNET,DICE,0.658,0.6361,0.679
NNUNET,IOU,0.4966,0.4733,0.5194
NNUNET,PRECISION,0.7757,0.7583,0.7945
NNUNET,RECALL,0.5859,0.5564,0.6152
NNUNET,SPECIFICITY,0.9997,0.9997,0.9997
NNUNET,HD95_MM,15.8774,13.2491,19.0225
NNUNET,ASD_MM,2.6943,2.3291,3.112
NNUNET,CLDICE,0.736,0.7146,0.756
NNUNET,CENTERLINE_RECALL,0.649,0.6229,0.6749
3DUNET,DICE,0.5428,0.5331,0.553
3DUNET,IOU,0.3736,0.3645,0.3832
3DUNET,PRECISION,0.5575,0.5426,0.571
3DUNET,RECALL,0.5349,0.5209,0.5488
3DUNET,SPECIFICITY,0.9993,0.9992,0.9993
3DUNET,HD95_MM,10.8413,8.9899,13.025
3DUNET,ASD_MM,2.0293,1.7705,2.3428
3DUNET,CLDICE,0.6878,0.673,0.7021
3DUNET,CENTERLINE_RECALL,0.6701,0.6523,0.6888
