Comparison,Metric,N,RASNet_Mean,Competitor_Mean,W_Stat,P_Raw,Diff,P_Holm_Bonferroni,Significant_p_005
RASNet vs RASNET_THRESH05,DICE,66,0.7376,0.7397,236.0,2.785084995332382e-08,-0.0021,1.2027e-07,YES
RASNet vs RASNET_THRESH05,IOU,66,0.5899,0.5929,232.0,2.405338354129157e-08,-0.003,1.2027e-07,YES
RASNet vs RASNET_THRESH05,PRECISION,66,0.8553,0.8427,0.0,1.6409484676272285e-12,0.0126,1.4769e-11,YES
RASNet vs RASNET_THRESH05,RECALL,66,0.6595,0.6701,66.0,3.128108183908179e-11,-0.0106,2.1897e-10,YES
RASNet vs RASNET_THRESH05,SPECIFICITY,66,0.9998,0.9998,0.0,1.6409484676272285e-12,0.0,1.4769e-11,YES
RASNet vs RASNET_THRESH05,HD95_MM,66,15.1187,14.5136,327.0,1.1058907648181843e-06,0.6051,2.2118e-06,YES
RASNet vs RASNET_THRESH05,ASD_MM,66,2.3966,2.3348,308.0,3.4967243834502287e-07,0.0617,1.0490e-06,YES
RASNet vs RASNET_THRESH05,CLDICE,66,0.8215,0.8248,583.0,0.0008445287976356245,-0.0033,8.4453e-04,YES
RASNet vs RASNET_THRESH05,CENTERLINE_RECALL,66,0.7595,0.7699,60.0,5.6108140597219407e-11,-0.0104,3.3665e-10,YES
RASNet vs SEGRESNET,DICE,66,0.7376,0.7546,381.0,3.6892027889132456e-06,-0.017,1.3524e-05,YES
RASNet vs SEGRESNET,IOU,66,0.5899,0.6117,374.0,2.970032382636668e-06,-0.0219,1.3524e-05,YES
RASNet vs SEGRESNET,PRECISION,66,0.8553,0.8119,1.0,1.7181336728902516e-12,0.0435,1.4769e-11,YES
RASNet vs SEGRESNET,RECALL,66,0.6595,0.7136,102.0,1.451006952412713e-10,-0.0541,1.0157e-09,YES
RASNet vs SEGRESNET,SPECIFICITY,66,0.9998,0.9997,0.0,1.6409484676272285e-12,0.0001,1.4769e-11,YES
RASNet vs SEGRESNET,HD95_MM,66,15.1187,12.8972,371.0,2.704867147572937e-06,2.2215,1.3524e-05,YES
RASNet vs SEGRESNET,ASD_MM,66,2.3966,2.2206,386.0,4.302152446432478e-06,0.1759,1.3524e-05,YES
RASNet vs SEGRESNET,CLDICE,66,0.8215,0.8305,606.0,0.0014185658444304387,-0.009,1.4186e-03,YES
RASNet vs SEGRESNET,CENTERLINE_RECALL,66,0.7595,0.8065,160.0,1.5418031595074735e-09,-0.0469,9.2508e-09,YES
RASNet vs VNET,DICE,66,0.7376,0.7119,421.0,1.2275214065619496e-05,0.0257,6.3593e-05,YES
RASNet vs VNET,IOU,66,0.5899,0.561,416.0,1.0598803446448602e-05,0.0289,6.3593e-05,YES
RASNet vs VNET,PRECISION,66,0.8553,0.8065,82.0,6.226314506159407e-11,0.0488,4.9811e-10,YES
RASNet vs VNET,RECALL,66,0.6595,0.6501,1036.0,0.6570630831085319,0.0095,6.5706e-01,NO
RASNet vs VNET,SPECIFICITY,66,0.9998,0.9997,79.0,5.476670337323452e-11,0.0001,4.9290e-10,YES
RASNet vs VNET,HD95_MM,66,15.1187,19.4053,692.0,0.008254672828644276,-4.2866,1.6509e-02,YES
RASNet vs VNET,ASD_MM,66,2.3966,3.53,646.0,0.003332002875671277,-1.1334,9.9960e-03,YES
RASNet vs VNET,CLDICE,66,0.8215,0.7876,403.0,7.2020853607729196e-06,0.0339,5.0415e-05,YES
RASNet vs VNET,CENTERLINE_RECALL,66,0.7595,0.7277,590.0,0.000991047741620198,0.0318,3.9642e-03,YES
RASNet vs NNUNET,DICE,66,0.7376,0.4704,0.0,1.6409484676272285e-12,0.2672,1.4769e-11,YES
RASNet vs NNUNET,IOU,66,0.5899,0.3225,0.0,1.6409484676272285e-12,0.2674,1.4769e-11,YES
RASNet vs NNUNET,PRECISION,66,0.8553,0.7597,64.0,2.868141354666837e-11,0.0957,5.7363e-11,YES
RASNet vs NNUNET,RECALL,66,0.6595,0.372,0.0,1.6409484676272285e-12,0.2875,1.4769e-11,YES
RASNet vs NNUNET,SPECIFICITY,66,0.9998,0.9998,1062.0,0.7811032993188473,-0.0,7.8110e-01,NO
RASNet vs NNUNET,HD95_MM,66,15.1187,48.701,30.0,6.4030486114663395e-12,-33.5823,1.9209e-11,YES
RASNet vs NNUNET,ASD_MM,66,2.3966,12.6639,19.0,3.902991388160785e-12,-10.2674,1.5612e-11,YES
RASNet vs NNUNET,CLDICE,66,0.8215,0.4844,0.0,1.6409484676272285e-12,0.3371,1.4769e-11,YES
RASNet vs NNUNET,CENTERLINE_RECALL,66,0.7595,0.3525,0.0,1.6409484676272285e-12,0.407,1.4769e-11,YES
RASNet vs 3DUNET,DICE,66,0.7376,0.5322,0.0,1.6409484676272285e-12,0.2055,1.4769e-11,YES
RASNet vs 3DUNET,IOU,66,0.5899,0.3639,0.0,1.6409484676272285e-12,0.226,1.4769e-11,YES
RASNet vs 3DUNET,PRECISION,66,0.8553,0.6019,0.0,1.6409484676272285e-12,0.2535,1.4769e-11,YES
RASNet vs 3DUNET,RECALL,66,0.6595,0.4833,10.0,2.593772721511238e-12,0.1762,1.4769e-11,YES
RASNet vs 3DUNET,SPECIFICITY,66,0.9998,0.9995,0.0,1.6409484676272285e-12,0.0003,1.4769e-11,YES
RASNet vs 3DUNET,HD95_MM,66,15.1187,13.8013,1098.0,0.9617874840472179,1.3174,9.6179e-01,NO
RASNet vs 3DUNET,ASD_MM,66,2.3966,2.4013,799.0,0.05023624346582881,-0.0047,1.0047e-01,NO
RASNet vs 3DUNET,CLDICE,66,0.8215,0.6717,3.0,1.8833400988018882e-12,0.1498,1.4769e-11,YES
RASNet vs 3DUNET,CENTERLINE_RECALL,66,0.7595,0.6089,65.0,2.995365626506036e-11,0.1506,8.9861e-11,YES
