Comparison,Metric,Metric_Label,RASNet (Mean ± SD),Baseline (Mean ± SD),Delta (Mean),Wilcoxon_W,Raw_p_value,Holm_Corrected_p,Significance
RASNet vs. SegResNet,dice,Dice Similarity Coefficient (DSC),0.7765 ± 0.0695,0.7469 ± 0.0640,+0.0296,1929.0,2.470915362166808e-12,2.718006898383489e-11,***
RASNet vs. SegResNet,iou,Intersection-over-Union (IoU),0.6396 ± 0.0864,0.6001 ± 0.0788,+0.0395,1819.0,5.540944236915325e-13,7.203227507989922e-12,***
RASNet vs. SegResNet,precision,Precision (PPV),0.8801 ± 0.0530,0.7313 ± 0.0911,+0.1488,0.0,2.2996057560669792e-26,7.3587384194143335e-25,***
RASNet vs. SegResNet,recall,Recall / Sensitivity,0.7016 ± 0.0976,0.7713 ± 0.0654,-0.0697,0.0,2.2996057560669792e-26,7.3587384194143335e-25,***
RASNet vs. SegResNet,hd95,"95% Hausdorff Distance (HD95, mm)",10.2924 ± 10.4861,31.4775 ± 18.1586,-21.1851,650.0,5.220346441822807e-21,8.717649730870872e-20,***
RASNet vs. SegResNet,asd,"Average Surface Distance (ASD, mm)",1.5981 ± 1.8235,4.6614 ± 2.7181,-3.0633,445.0,1.2518475411155535e-22,2.2533255740079963e-21,***
RASNet vs. SegResNet,cldice,Centerline Dice (clDice),0.8592 ± 0.0719,0.7769 ± 0.0819,+0.0823,649.0,5.128029253453454e-21,8.717649730870872e-20,***
RASNet vs. SegResNet,centerline_recall,Centerline Recall / Tree Completeness (T_sens),0.8018 ± 0.1022,0.8866 ± 0.0579,-0.0848,8.0,3.946570451152208e-26,9.077112037650078e-25,***
RASNet vs. nnU-Net V2,dice,Dice Similarity Coefficient (DSC),0.7765 ± 0.0695,0.7687 ± 0.0668,+0.0078,4823.0,0.11523266192859631,0.3392506959925324,n.s.
RASNet vs. nnU-Net V2,iou,Intersection-over-Union (IoU),0.6396 ± 0.0864,0.6289 ± 0.0856,+0.0106,4818.0,0.11308356533084413,0.3392506959925324,n.s.
RASNet vs. nnU-Net V2,precision,Precision (PPV),0.8801 ± 0.0530,0.7391 ± 0.0967,+0.1410,0.0,2.2996057560669792e-26,7.3587384194143335e-25,***
RASNet vs. nnU-Net V2,recall,Recall / Sensitivity,0.7016 ± 0.0976,0.8106 ± 0.0680,-0.1091,0.0,2.2996057560669792e-26,7.3587384194143335e-25,***
RASNet vs. nnU-Net V2,hd95,"95% Hausdorff Distance (HD95, mm)",10.2924 ± 10.4861,21.0983 ± 17.1028,-10.8059,2227.0,1.1497650340752126e-10,8.048355238526488e-10,***
RASNet vs. nnU-Net V2,asd,"Average Surface Distance (ASD, mm)",1.5981 ± 1.8235,3.0966 ± 2.6419,-1.4985,1879.0,1.2588841384278783e-12,1.510660966113454e-11,***
RASNet vs. nnU-Net V2,cldice,Centerline Dice (clDice),0.8592 ± 0.0719,0.8201 ± 0.0766,+0.0391,2430.0,1.319995421704786e-09,6.59997710852393e-09,***
RASNet vs. nnU-Net V2,centerline_recall,Centerline Recall / Tree Completeness (T_sens),0.8018 ± 0.1022,0.9111 ± 0.0556,-0.1093,0.0,2.2996057560669792e-26,7.3587384194143335e-25,***
RASNet vs. V-Net,dice,Dice Similarity Coefficient (DSC),0.7765 ± 0.0695,0.7474 ± 0.0633,+0.0291,2116.0,2.8507117204878876e-11,2.28056937639031e-10,***
RASNet vs. V-Net,iou,Intersection-over-Union (IoU),0.6396 ± 0.0864,0.6006 ± 0.0786,+0.0389,2007.0,6.954185172002896e-12,6.258766654802606e-11,***
RASNet vs. V-Net,precision,Precision (PPV),0.8801 ± 0.0530,0.7545 ± 0.0982,+0.1256,0.0,2.2996057560669792e-26,7.3587384194143335e-25,***
RASNet vs. V-Net,recall,Recall / Sensitivity,0.7016 ± 0.0976,0.7499 ± 0.0678,-0.0483,433.0,1.0017123150274944e-22,1.9032533985522395e-21,***
RASNet vs. V-Net,hd95,"95% Hausdorff Distance (HD95, mm)",10.2924 ± 10.4861,21.8050 ± 19.1359,-11.5127,2289.0,2.459666463784862e-10,1.4757998782709172e-09,***
RASNet vs. V-Net,asd,"Average Surface Distance (ASD, mm)",1.5981 ± 1.8235,3.1758 ± 2.7710,-1.5777,1933.0,2.606906850390504e-12,2.718006898383489e-11,***
RASNet vs. V-Net,cldice,Centerline Dice (clDice),0.8592 ± 0.0719,0.8075 ± 0.0759,+0.0517,1454.0,2.876416091084469e-15,4.0269825275182567e-14,***
RASNet vs. V-Net,centerline_recall,Centerline Recall / Tree Completeness (T_sens),0.8018 ± 0.1022,0.8571 ± 0.0613,-0.0554,1412.0,1.524352354389881e-15,2.2865285315848214e-14,***
RASNet vs. 3D U-Net,dice,Dice Similarity Coefficient (DSC),0.7765 ± 0.0695,0.5561 ± 0.0458,+0.2205,0.0,2.2996057560669792e-26,7.3587384194143335e-25,***
RASNet vs. 3D U-Net,iou,Intersection-over-Union (IoU),0.6396 ± 0.0864,0.3865 ± 0.0429,+0.2531,0.0,2.2996057560669792e-26,7.3587384194143335e-25,***
RASNet vs. 3D U-Net,precision,Precision (PPV),0.8801 ± 0.0530,0.6069 ± 0.0646,+0.2732,0.0,2.2996057560669792e-26,7.3587384194143335e-25,***
RASNet vs. 3D U-Net,recall,Recall / Sensitivity,0.7016 ± 0.0976,0.5178 ± 0.0536,+0.1838,43.0,5.441846657559255e-26,1.1427877980874436e-24,***
RASNet vs. 3D U-Net,hd95,"95% Hausdorff Distance (HD95, mm)",10.2924 ± 10.4861,9.8780 ± 7.1789,+0.4144,4975.0,0.19708029655008263,0.3392506959925324,n.s.
RASNet vs. 3D U-Net,asd,"Average Surface Distance (ASD, mm)",1.5981 ± 1.8235,1.6903 ± 1.0444,-0.0921,3821.0,0.0005500989569752195,0.002200395827900878,**
RASNet vs. 3D U-Net,cldice,Centerline Dice (clDice),0.8592 ± 0.0719,0.7027 ± 0.0611,+0.1566,38.0,4.924828702003499e-26,1.0834623144407698e-24,***
RASNet vs. 3D U-Net,centerline_recall,Centerline Recall / Tree Completeness (T_sens),0.8018 ± 0.1022,0.6534 ± 0.0739,+0.1484,311.0,1.0095970017482835e-23,2.019194003496567e-22,***
