Epoch,Time_Seconds,Training_Loss,Learning_Rate,Max_VRAM_MB,Cumulative_Time_Hours
1,1125.644,0.125,0.0002,10908.4,0.313
2,63.512,0.1194,0.0002,10908.4,0.33
3,62.459,0.1198,0.000199,10908.4,0.348
4,61.816,0.1226,0.000198,10908.4,0.365
5,62.66,0.1211,0.000198,10908.4,0.382
6,62.942,0.126,0.000196,10908.4,0.4
7,62.886,0.1245,0.000195,10908.4,0.417
8,62.682,0.125,0.000194,10908.4,0.435
9,63.223,0.1219,0.000192,10908.4,0.452
10,63.194,0.1197,0.00019,10908.4,0.47
11,63.968,0.1247,0.000188,10908.4,0.487
12,62.241,0.1279,0.000186,10908.4,0.505
13,62.693,0.1225,0.000184,10908.4,0.522
14,62.617,0.1215,0.000181,10908.4,0.54
15,62.352,0.1209,0.000178,10908.4,0.557
16,63.048,0.1246,0.000175,10908.4,0.574
17,61.981,0.1229,0.000172,10908.4,0.592
18,61.941,0.1226,0.000169,10908.4,0.609
19,62.863,0.1263,0.000166,10908.4,0.626
20,62.239,0.1204,0.000163,10908.4,0.644
21,63.21,0.1172,0.000159,10908.4,0.661
22,62.692,0.1219,0.000155,10908.4,0.679
23,64.617,0.1186,0.000152,10908.4,0.697
24,63.573,0.1238,0.000148,10908.4,0.714
25,63.666,0.1211,0.000144,10908.4,0.732
26,62.113,0.1234,0.00014,10908.4,0.749
27,62.9,0.117,0.000135,10908.4,0.767
28,63.89,0.1206,0.000131,10908.4,0.784
29,63.465,0.1167,0.000127,10908.4,0.802
30,62.629,0.1197,0.000123,10908.4,0.819
31,63.928,0.1212,0.000118,10908.4,0.837
32,62.462,0.1173,0.000114,10908.4,0.854
33,62.434,0.1166,0.000109,10908.4,0.872
34,62.648,0.1153,0.000105,10908.4,0.889
35,63.624,0.1191,0.000101,10908.4,0.907
36,64.225,0.1214,9.6e-05,10908.4,0.925
37,62.867,0.1158,9.2e-05,10908.4,0.942
38,62.962,0.119,8.7e-05,10908.4,0.96
39,63.501,0.1143,8.3e-05,10908.4,0.977
40,62.221,0.1204,7.8e-05,10908.4,0.995
41,63.144,0.1099,7.4e-05,10908.4,1.012
42,62.896,0.1147,7e-05,10908.4,1.03
43,62.891,0.1153,6.6e-05,10908.4,1.047
44,63.488,0.1173,6.1e-05,10908.4,1.065
45,62.518,0.1169,5.7e-05,10908.4,1.082
46,62.301,0.1187,5.3e-05,10908.4,1.099
47,61.663,0.1146,4.9e-05,10908.4,1.117
48,62.784,0.1118,4.6e-05,10908.4,1.134
49,65.427,0.1177,4.2e-05,10908.4,1.152
50,62.476,0.1136,3.8e-05,10908.4,1.169
51,62.001,0.1117,3.5e-05,10908.4,1.187
52,62.649,0.117,3.2e-05,10908.4,1.204
53,63.238,0.1162,2.9e-05,10908.4,1.222
54,62.465,0.1103,2.6e-05,10908.4,1.239
55,61.707,0.1139,2.3e-05,10908.4,1.256
56,63.677,0.1158,2e-05,10908.4,1.274
57,61.97,0.1175,1.7e-05,10908.4,1.291
58,63.009,0.1181,1.5e-05,10908.4,1.309
59,62.198,0.1194,1.3e-05,10908.4,1.326
60,62.567,0.1166,1.1e-05,10908.4,1.343
61,62.955,0.1105,9e-06,10908.4,1.361
62,62.341,0.1132,7e-06,10908.4,1.378
63,62.68,0.1144,6e-06,10908.4,1.395
64,63.15,0.1121,5e-06,10908.4,1.413
65,63.201,0.115,3e-06,10908.4,1.431
66,63.045,0.1138,3e-06,10908.4,1.448
67,62.144,0.1173,2e-06,10908.4,1.465
68,62.636,0.1132,1e-06,10908.4,1.483
69,62.54,0.1102,1e-06,10908.4,1.5
70,62.932,0.1106,1e-06,10908.4,1.518
