Case,Dice,HD95,IoU,Precision,Recall,Model,Original_ID
Case_0,,,,,,3D_U-Net,851
Case_1,,,,,,3D_U-Net,852
Case_2,,,,,,3D_U-Net,853
Case_3,,,,,,3D_U-Net,854
Case_4,,,,,,3D_U-Net,855
Case_5,,,,,,3D_U-Net,856
Case_6,,,,,,3D_U-Net,857
Case_7,,,,,,3D_U-Net,858
Case_8,,,,,,3D_U-Net,859
Case_9,,,,,,3D_U-Net,860
Case_10,,,,,,3D_U-Net,861
Case_11,,,,,,3D_U-Net,862
Case_12,,,,,,3D_U-Net,863
Case_13,,,,,,3D_U-Net,864
Case_14,,,,,,3D_U-Net,865
Case_15,,,,,,3D_U-Net,866
Case_16,,,,,,3D_U-Net,867
Case_17,,,,,,3D_U-Net,868
Case_18,,,,,,3D_U-Net,869
Case_19,,,,,,3D_U-Net,870
Case_20,,,,,,3D_U-Net,871
Case_21,,,,,,3D_U-Net,872
Case_22,,,,,,3D_U-Net,873
Case_23,,,,,,3D_U-Net,874
Case_24,,,,,,3D_U-Net,875
Case_25,,,,,,3D_U-Net,876
Case_26,,,,,,3D_U-Net,877
Case_27,,,,,,3D_U-Net,878
Case_28,,,,,,3D_U-Net,879
Case_29,,,,,,3D_U-Net,880
Case_30,,,,,,3D_U-Net,881
Case_31,,,,,,3D_U-Net,882
Case_32,,,,,,3D_U-Net,883
Case_33,,,,,,3D_U-Net,884
Case_34,,,,,,3D_U-Net,885
Case_35,,,,,,3D_U-Net,886
Case_36,,,,,,3D_U-Net,887
Case_37,,,,,,3D_U-Net,888
Case_38,,,,,,3D_U-Net,889
Case_39,,,,,,3D_U-Net,890
Case_40,,,,,,3D_U-Net,891
Case_41,,,,,,3D_U-Net,892
Case_42,,,,,,3D_U-Net,893
Case_43,,,,,,3D_U-Net,894
Case_44,,,,,,3D_U-Net,895
Case_45,,,,,,3D_U-Net,896
Case_46,,,,,,3D_U-Net,897
Case_47,,,,,,3D_U-Net,898
Case_48,,,,,,3D_U-Net,899
Case_49,,,,,,3D_U-Net,900
Case_50,,,,,,3D_U-Net,901
Case_51,,,,,,3D_U-Net,902
Case_52,,,,,,3D_U-Net,903
Case_53,,,,,,3D_U-Net,904
Case_54,,,,,,3D_U-Net,905
Case_55,,,,,,3D_U-Net,906
Case_56,,,,,,3D_U-Net,907
Case_57,,,,,,3D_U-Net,908
Case_58,,,,,,3D_U-Net,909
Case_59,,,,,,3D_U-Net,910
Case_60,,,,,,3D_U-Net,911
Case_61,,,,,,3D_U-Net,912
Case_62,,,,,,3D_U-Net,913
Case_63,,,,,,3D_U-Net,914
Case_64,,,,,,3D_U-Net,915
Case_65,,,,,,3D_U-Net,916
Case_66,,,,,,3D_U-Net,917
Case_67,,,,,,3D_U-Net,918
Case_68,,,,,,3D_U-Net,919
Case_69,,,,,,3D_U-Net,920
Case_70,,,,,,3D_U-Net,921
Case_71,,,,,,3D_U-Net,922
Case_72,,,,,,3D_U-Net,923
Case_73,,,,,,3D_U-Net,924
Case_74,,,,,,3D_U-Net,925
Case_75,,,,,,3D_U-Net,926
Case_76,,,,,,3D_U-Net,927
Case_77,,,,,,3D_U-Net,928
Case_78,,,,,,3D_U-Net,929
Case_79,,,,,,3D_U-Net,930
Case_80,,,,,,3D_U-Net,931
Case_81,,,,,,3D_U-Net,932
Case_82,,,,,,3D_U-Net,933
Case_83,,,,,,3D_U-Net,934
Case_84,,,,,,3D_U-Net,935
Case_85,,,,,,3D_U-Net,936
Case_86,,,,,,3D_U-Net,937
Case_87,,,,,,3D_U-Net,938
Case_88,,,,,,3D_U-Net,939
Case_89,,,,,,3D_U-Net,940
Case_90,,,,,,3D_U-Net,941
