Case,Dice_3DUNet,HD95_3DUNet,IoU_3DUNet,Precision_3DUNet,Recall_3DUNet,Dice_SegResNet,HD95_SegResNet,IoU_SegResNet,Precision_SegResNet,Recall_SegResNet
Case_0,,,,,,0.7532138228416443,12.611387252807615,0.6041243076324463,0.7825112342834473,0.7260311245918274
Case_1,,,,,,0.7528517246246338,10.29563045501709,0.6036585569381714,0.8231707215309143,0.693601131439209
Case_2,,,,,,0.7916417121887207,8.485280990600586,0.6551381945610046,0.8280454277992249,0.7583040595054626
Case_3,,,,,,0.7612246870994568,10.0,0.6144978404045105,0.9168621301651,0.6507584452629089
Case_4,,,,,,0.843949019908905,1.4142135381698608,0.7300275564193726,0.8569328784942627,0.8313527703285217
Case_5,,,,,,0.8877691626548767,1.0,0.7981878519058228,0.8976303339004517,0.8781222701072693
Case_6,,,,,,0.8451985716819763,4.582575798034668,0.7318994998931885,0.8598949313163757,0.8309961557388306
Case_7,,,,,,0.8870535492897034,1.0,0.7970317006111145,0.8813093304634094,0.8928731679916382
Case_8,,,,,,0.7837332487106323,12.212665557861328,0.6443761587142944,0.8483816981315613,0.728239893913269
Case_9,,,,,,0.7769976854324341,7.687575817108154,0.6353198885917664,0.7962813377380371,0.7586259841918945
Case_10,,,,,,0.8384159207344055,7.088657855987549,0.7217866778373718,0.8650804162025452,0.8133460283279419
Case_11,,,,,,0.8227822780609131,6.032834529876709,0.6989210844039917,0.8683632016181946,0.7817478775978088
Case_12,,,,,,0.7676451802253723,18.6279354095459,0.6229092478752136,0.7649177312850952,0.7703921794891357
Case_13,,,,,,0.7151461839675903,13.93913745880127,0.5565973520278931,0.769774854183197,0.6677574515342712
Case_14,,,,,,0.8032674789428711,18.468652725219727,0.6712172031402588,0.7242017984390259,0.9017131328582764
Case_15,,,,,,0.8272942900657654,7.348469257354736,0.7054576873779297,0.8489558696746826,0.8067106008529663
Case_16,,,,,,0.8278111815452576,2.8284270763397217,0.7062097191810608,0.8611739277839661,0.7969369888305664
Case_17,,,,,,0.8576592206954956,1.4142135381698608,0.7507910132408142,0.9127017259597778,0.8088780045509338
Case_18,,,,,,0.8126981258392334,9.0,0.6844915747642517,0.8623962998390198,0.7684158682823181
Case_19,,,,,,0.8147961497306824,12.792420387268066,0.6874734163284302,0.7938721179962158,0.83685302734375
Case_20,,,,,,0.8524748086929321,12.794525146484377,0.742881178855896,0.8455404043197632,0.8595239520072937
Case_21,,,,,,0.8350123167037964,5.0,0.7167563438415527,0.8391162157058716,0.8309484124183655
Case_22,,,,,,0.8116980195045471,17.745304107666016,0.6830738186836243,0.7714852690696716,0.856333315372467
Case_23,,,,,,0.8007594347000122,14.696938514709473,0.6677221655845642,0.75136399269104,0.8571065664291382
Case_24,,,,,,0.811369776725769,11.78982639312744,0.6826090812683105,0.7773548364639282,0.848497748374939
Case_25,,,,,,0.822114109992981,14.866068840026855,0.6979573369026184,0.7754191160202026,0.8747932314872742
Case_26,,,,,,0.7284325957298279,25.63590812683105,0.5728619694709778,0.7165060043334961,0.7407630085945129
Case_27,,,,,,0.853485643863678,1.7320507764816284,0.7444177865982056,0.844822883605957,0.8623279333114624
Case_28,,,,,,0.7759591937065125,11.57583713531494,0.6339324116706848,0.8409842252731323,0.7202678918838501
Case_29,,,,,,0.7820700407028198,9.54977798461914,0.6421305537223816,0.8608665466308594,0.7164886593818665
Case_30,,,,,,0.7158703804016113,8.83176040649414,0.5574751496315002,0.8202108144760132,0.6350806355476379
Case_31,,,,,,0.8526570796966553,1.4142135381698608,0.7431580424308777,0.8531495332717896,0.8521652221679688
Case_32,,,,,,0.8278631567955017,8.246211051940918,0.7062854170799255,0.8725178241729736,0.7875567078590393
Case_33,,,,,,0.8525550365447998,1.4142135381698608,0.7430030107498169,0.868742823600769,0.8369595408439636
Case_34,,,,,,0.7254225015640259,9.110433578491213,0.5691474080085754,0.8534319996833801,0.6308055520057678
Case_35,,,,,,0.6983473896980286,25.571456909179688,0.5365082621574402,0.642530083656311,0.7647850513458252
Case_36,,,,,,0.7242470383644104,23.00434112548828,0.5677016377449036,0.8096864819526672,0.655117928981781
Case_37,,,,,,0.8163136839866638,9.289631843566896,0.6896368265151978,0.8577101230621338,0.7787291407585144
Case_38,,,,,,0.773611307144165,22.825424194335938,0.6308043599128723,0.8476161360740662,0.7114914655685425
Case_39,,,,,,0.7889119982719421,12.449899673461914,0.6514076590538025,0.8155385255813599,0.7639691829681396
Case_40,,,,,,0.814490795135498,7.549834251403809,0.6870388388633728,0.8483707904815674,0.7832129597663879
Case_41,,,,,,0.73972487449646,9.48683261871338,0.5869550704956055,0.8337296843528748,0.6647705435752869
Case_42,,,,,,0.8947435021400452,1.0,0.8095346689224243,0.8642979264259338,0.9274123311042786
Case_43,,,,,,0.7124521732330322,10.440306663513184,0.5533403754234314,0.8210283517837524,0.629239022731781
Case_44,,,,,,0.8402644395828247,3.0568130016326904,0.7245311141014099,0.8082027435302734,0.8749750256538391
