Case,Dice,IoU,HD95,Precision,Recall,Status
851,,,,,,GT_not_available
852,,,,,,GT_not_available
853,,,,,,GT_not_available
854,,,,,,GT_not_available
855,,,,,,GT_not_available
856,,,,,,GT_not_available
857,,,,,,GT_not_available
858,,,,,,GT_not_available
859,,,,,,GT_not_available
860,,,,,,GT_not_available
861,,,,,,GT_not_available
862,,,,,,GT_not_available
863,,,,,,GT_not_available
864,,,,,,GT_not_available
865,,,,,,GT_not_available
866,,,,,,GT_not_available
867,,,,,,GT_not_available
868,,,,,,GT_not_available
869,,,,,,GT_not_available
870,,,,,,GT_not_available
871,,,,,,GT_not_available
872,,,,,,GT_not_available
873,,,,,,GT_not_available
874,,,,,,GT_not_available
875,,,,,,GT_not_available
876,,,,,,GT_not_available
877,,,,,,GT_not_available
878,,,,,,GT_not_available
879,,,,,,GT_not_available
880,,,,,,GT_not_available
881,,,,,,GT_not_available
882,,,,,,GT_not_available
883,,,,,,GT_not_available
884,,,,,,GT_not_available
885,,,,,,GT_not_available
886,,,,,,GT_not_available
887,,,,,,GT_not_available
888,,,,,,GT_not_available
889,,,,,,GT_not_available
890,,,,,,GT_not_available
891,,,,,,GT_not_available
892,,,,,,GT_not_available
893,,,,,,GT_not_available
894,,,,,,GT_not_available
895,,,,,,GT_not_available
896,,,,,,GT_not_available
897,,,,,,GT_not_available
898,,,,,,GT_not_available
899,,,,,,GT_not_available
900,,,,,,GT_not_available
901,,,,,,GT_not_available
902,,,,,,GT_not_available
903,,,,,,GT_not_available
904,,,,,,GT_not_available
905,,,,,,GT_not_available
906,,,,,,GT_not_available
907,,,,,,GT_not_available
908,,,,,,GT_not_available
909,,,,,,GT_not_available
910,,,,,,GT_not_available
911,,,,,,GT_not_available
912,,,,,,GT_not_available
913,,,,,,GT_not_available
914,,,,,,GT_not_available
915,,,,,,GT_not_available
916,,,,,,GT_not_available
917,,,,,,GT_not_available
918,,,,,,GT_not_available
919,,,,,,GT_not_available
920,,,,,,GT_not_available
921,,,,,,GT_not_available
922,,,,,,GT_not_available
923,,,,,,GT_not_available
924,,,,,,GT_not_available
925,,,,,,GT_not_available
926,,,,,,GT_not_available
927,,,,,,GT_not_available
928,,,,,,GT_not_available
929,,,,,,GT_not_available
930,,,,,,GT_not_available
931,,,,,,GT_not_available
932,,,,,,GT_not_available
933,,,,,,GT_not_available
934,,,,,,GT_not_available
935,,,,,,GT_not_available
936,,,,,,GT_not_available
937,,,,,,GT_not_available
938,,,,,,GT_not_available
939,,,,,,GT_not_available
940,,,,,,GT_not_available
941,,,,,,GT_not_available
942,,,,,,GT_not_available
943,,,,,,GT_not_available
944,,,,,,GT_not_available
945,,,,,,GT_not_available
946,,,,,,GT_not_available
947,,,,,,GT_not_available
948,,,,,,GT_not_available
949,,,,,,GT_not_available
950,,,,,,GT_not_available
951,,,,,,GT_not_available
952,,,,,,GT_not_available
953,,,,,,GT_not_available
954,,,,,,GT_not_available
955,,,,,,GT_not_available
956,,,,,,GT_not_available
957,,,,,,GT_not_available
958,,,,,,GT_not_available
959,,,,,,GT_not_available
960,,,,,,GT_not_available
961,,,,,,GT_not_available
962,,,,,,GT_not_available
963,,,,,,GT_not_available
964,,,,,,GT_not_available
965,,,,,,GT_not_available
966,,,,,,GT_not_available
967,,,,,,GT_not_available
968,,,,,,GT_not_available
969,,,,,,GT_not_available
970,,,,,,GT_not_available
971,,,,,,GT_not_available
972,,,,,,GT_not_available
973,,,,,,GT_not_available
974,,,,,,GT_not_available
975,,,,,,GT_not_available
976,,,,,,GT_not_available
977,,,,,,GT_not_available
978,,,,,,GT_not_available
979,,,,,,GT_not_available
980,,,,,,GT_not_available
981,,,,,,GT_not_available
982,,,,,,GT_not_available
983,,,,,,GT_not_available
984,,,,,,GT_not_available
985,,,,,,GT_not_available
986,,,,,,GT_not_available
987,,,,,,GT_not_available
988,,,,,,GT_not_available
989,,,,,,GT_not_available
990,,,,,,GT_not_available
991,,,,,,GT_not_available
992,,,,,,GT_not_available
993,,,,,,GT_not_available
994,,,,,,GT_not_available
995,,,,,,GT_not_available
996,,,,,,GT_not_available
997,,,,,,GT_not_available
998,,,,,,GT_not_available
999,,,,,,GT_not_available
1000,,,,,,GT_not_available
