case_id,dice,iou,precision,recall,hd95
851,0.813840,0.686112,0.816305,0.811389,1.297375
852,0.805380,0.674173,0.881243,0.741543,2.346799
853,0.808863,0.679068,0.825198,0.793163,9.639275
854,0.718430,0.560585,0.725449,0.711545,7.556478
855,0.729544,0.574238,0.862926,0.631876,20.342321
856,0.816925,0.690510,0.811937,0.821974,5.593819
857,0.807009,0.676459,0.793539,0.820945,1.048828
858,0.745088,0.593737,0.834885,0.672731,14.274650
859,0.801158,0.668276,0.824924,0.778722,7.733356
860,0.743067,0.591175,0.829226,0.673128,15.534952
861,0.605358,0.434059,0.882930,0.460566,49.694047
862,0.754812,0.606184,0.851507,0.677839,10.411784
863,0.791669,0.655175,0.855884,0.736417,2.303384
864,0.819164,0.693715,0.797215,0.842356,1.367257
865,0.719243,0.561577,0.727359,0.711306,30.849772
866,0.755427,0.606976,0.839861,0.686418,17.573612
867,0.718169,0.560268,0.882993,0.605199,15.280995
868,0.771150,0.627538,0.753596,0.789542,7.713971
869,0.671912,0.505924,0.844239,0.558010,5.032718
870,0.714668,0.556018,0.768441,0.667929,6.433472
871,0.790926,0.654159,0.810404,0.772363,4.742001
872,0.788478,0.650816,0.821974,0.757605,4.936423
873,0.840055,0.724219,0.898035,0.789107,2.336160
874,0.744666,0.593202,0.726245,0.764046,12.624629
875,0.778521,0.637359,0.815721,0.744565,3.844992
876,0.738137,0.584958,0.865813,0.643277,7.677578
877,0.808703,0.678842,0.816771,0.800793,1.721451
878,0.769581,0.625462,0.802834,0.738972,3.320701
879,0.845637,0.732557,0.854205,0.837239,0.626174
880,0.613344,0.442318,0.765270,0.511748,50.338534
881,0.732846,0.578340,0.777841,0.692772,9.596893
882,0.809829,0.680431,0.881131,0.749203,3.693322
883,0.690118,0.526855,0.830282,0.590443,24.798352
884,0.821967,0.697745,0.783681,0.864186,1.078974
885,0.790098,0.653027,0.871059,0.722908,1.931088
886,0.675213,0.509677,0.717937,0.637290,19.010210
887,0.706362,0.546028,0.889947,0.585567,32.198989
888,0.789325,0.651971,0.789501,0.789150,7.789246
889,0.745106,0.593760,0.823412,0.680401,13.303500
890,0.839003,0.722657,0.806795,0.873889,0.636719
891,0.814133,0.686529,0.781001,0.850200,1.619149
892,0.713996,0.555205,0.767667,0.667339,8.338601
893,0.784330,0.645184,0.896582,0.697059,7.328179
894,0.700644,0.539224,0.832168,0.605020,16.785667
895,0.746510,0.595545,0.702697,0.796149,4.402114
896,0.717542,0.559506,0.816773,0.639811,6.874376
897,0.783057,0.643462,0.805400,0.761920,5.348934
898,0.807755,0.677508,0.808456,0.807055,1.382812
899,0.843135,0.728810,0.857172,0.829550,0.875558
900,0.821796,0.697499,0.818663,0.824953,1.000000
901,0.764681,0.619015,0.832453,0.707114,5.974884
902,0.674343,0.508686,0.820446,0.572409,7.897846
903,0.837453,0.720360,0.797380,0.881767,0.636719
904,0.700905,0.539533,0.745275,0.661521,8.029006
905,0.731765,0.576994,0.841985,0.647061,8.427379
906,0.795711,0.660731,0.844559,0.752204,4.413763
907,0.791854,0.655429,0.831041,0.756196,4.213901
908,0.778949,0.637933,0.808352,0.751610,5.258551
909,0.610482,0.439348,0.714536,0.532881,16.207764
910,0.732392,0.577774,0.787307,0.684637,18.971505
911,0.803263,0.671211,0.848527,0.762585,3.708239
912,0.793247,0.657340,0.771069,0.816738,4.018819
913,0.784085,0.644851,0.838931,0.735970,4.221890
914,0.718623,0.560821,0.765328,0.677291,7.941233
915,0.820087,0.695041,0.811271,0.829098,1.000000
916,0.768275,0.623739,0.763527,0.773082,6.978518
917,0.833101,0.713944,0.870899,0.798447,1.000000
918,0.781359,0.641172,0.734236,0.834946,3.384207
919,0.816279,0.689587,0.849375,0.785664,1.910156
920,0.740462,0.587883,0.752089,0.729188,12.223896
921,0.803038,0.670896,0.811133,0.795103,2.126852
922,0.692569,0.529717,0.717482,0.669328,8.252733
923,0.815645,0.688683,0.850214,0.783778,4.170699
924,0.780007,0.639353,0.794471,0.766060,3.023571
925,0.820133,0.695107,0.798089,0.843430,1.044087
926,0.786648,0.648327,0.839002,0.740444,3.831746
927,0.738366,0.585246,0.805467,0.681585,5.338263
928,0.811668,0.683032,0.863262,0.765894,1.888947
929,0.799135,0.665466,0.811501,0.787139,4.621944
930,0.783343,0.643849,0.847471,0.728238,8.930683
931,0.614710,0.443741,0.744858,0.523279,35.087658
932,0.795216,0.660049,0.798180,0.792274,2.623454
933,0.796107,0.661278,0.779290,0.813667,4.301563
934,0.838569,0.722013,0.859018,0.819070,0.671875
935,0.840241,0.724497,0.851760,0.829030,0.765625
936,0.775421,0.633215,0.805109,0.747845,6.563005
937,0.767370,0.622546,0.792446,0.743831,4.720801
938,0.804216,0.672542,0.866663,0.750163,7.014260
939,0.642767,0.473586,0.846481,0.518085,25.338767
940,0.783546,0.644123,0.770511,0.797030,3.000000
941,0.764145,0.618313,0.791776,0.738378,5.767489
942,0.733654,0.579347,0.799022,0.678172,9.762438
943,0.803923,0.672133,0.767169,0.844375,3.759697
944,0.816936,0.690525,0.849221,0.787015,1.068000
945,0.787155,0.649015,0.777339,0.797222,5.959604
946,0.682391,0.517901,0.772427,0.611153,13.614506
947,0.776928,0.635226,0.842151,0.721081,11.062439
948,0.721603,0.564459,0.810780,0.650099,50.590035
949,0.799388,0.665817,0.848732,0.755466,2.964236
950,0.729702,0.574434,0.732477,0.726948,21.120895
951,0.795895,0.660985,0.808444,0.783729,5.006368
952,0.807790,0.677557,0.791275,0.825009,2.285222
953,0.750854,0.601094,0.830619,0.685066,7.675793
954,0.766189,0.620994,0.797395,0.737334,5.532644
955,0.764646,0.618969,0.808174,0.725568,5.649104
956,0.781363,0.641178,0.720604,0.853312,4.716300
957,0.643996,0.474922,0.806305,0.536083,15.389428
958,0.728896,0.573435,0.744848,0.713612,7.721983
959,0.735025,0.581059,0.822486,0.664377,19.569208
