Case,Dice,HD95,IoU,Precision,Recall,Model,Original_ID,GPU_Used,Resize_Applied
Case_0,0.011439229361712933,,0.005752516910433769,0.012003503739833832,0.010925624519586563,3D_U-Net,851,True,True
Case_1,0.050749052315950394,,0.026035156100988388,0.04196023941040039,0.06419508159160614,3D_U-Net,852,True,True
Case_2,0.009522954002022743,,0.004784257151186466,0.008140070363879204,0.01147186104208231,3D_U-Net,853,True,True
Case_3,0.0186629481613636,,0.00941937044262886,0.015463778749108315,0.023531096056103706,3D_U-Net,854,True,True
Case_4,0.04920428618788719,,0.025222674012184143,0.04490184783935547,0.05441860482096672,3D_U-Net,855,True,True
Case_5,0.051406484097242355,,0.026381326839327812,0.04290592297911644,0.06410752981901169,3D_U-Net,856,True,True
Case_6,0.05046528950333595,,0.02588581293821335,0.04344797134399414,0.060185983777046204,3D_U-Net,857,True,True
Case_7,0.01998918317258358,,0.010095492005348206,0.017555205151438713,0.02320672944188118,3D_U-Net,858,True,True
Case_8,0.016299325972795486,,0.00821662601083517,0.016436394304037094,0.016164526343345642,3D_U-Net,859,True,True
Case_9,0.036943163722753525,,0.018819201737642288,0.030713802203536034,0.046342287212610245,3D_U-Net,860,True,True
Case_10,0.017482366412878036,,0.008818265050649643,0.014706186950206757,0.021550610661506653,3D_U-Net,861,True,True
Case_11,0.015151421539485455,,0.007633540313690901,0.012973248027265072,0.018208594992756844,3D_U-Net,862,True,True
Case_12,0.021642854437232018,,0.01093981135636568,0.016895100474357605,0.030101899057626724,3D_U-Net,863,True,True
Case_13,0.03642803430557251,,0.01855192333459854,0.03472790867090225,0.038303192704916,3D_U-Net,864,True,True
Case_14,0.029353851452469826,,0.014895547181367874,0.024068718776106834,0.03761313855648041,3D_U-Net,865,True,True
Case_15,0.027200782671570778,,0.013787912204861641,0.022273564711213112,0.034927140921354294,3D_U-Net,866,True,True
Case_16,0.04023846611380577,,0.020532328635454178,0.039182327687740326,0.04135311767458916,3D_U-Net,867,True,True
Case_17,0.03015202097594738,,0.015306775458157063,0.020942728966474533,0.05381761118769646,3D_U-Net,868,True,True
Case_18,0.03817104920744896,,0.01945687085390091,0.03943467512726784,0.03698589280247688,3D_U-Net,869,True,True
Case_19,0.012539184652268887,,0.0063091483898460865,0.01047719456255436,0.015611681155860424,3D_U-Net,870,True,True
Case_20,0.016520312055945396,,0.008328954689204693,0.015503978356719017,0.0176792424172163,3D_U-Net,871,True,True
Case_21,0.03517971932888031,,0.017904803156852722,0.02878241427242756,0.04523351788520813,3D_U-Net,872,True,True
Case_22,0.02756945975124836,,0.013977404683828354,0.02873130328953266,0.02649792842566967,3D_U-Net,873,True,True
