model,metric,mean,std,median,min,max,count
V-Net,dice,0.009213948728496974,0.005864444193248039,0.0081790362838965,0.0007910254566373,0.0226061714649253,45
V-Net,iou,0.004636837258700782,0.002965108426338447,0.0041063109751777,0.0003956692205316,0.0114323060680698,45
V-Net,precision,0.023993829281018748,0.01842018657350752,0.0173142401777305,0.0027703447190303,0.0760737439222042,45
V-Net,recall,0.005999807393863304,0.0038258336453973773,0.0053269339803008,0.0004454072439414,0.0161965811965811,45
3D U-Net,dice,0.0054213600026236115,0.0014370262839562035,0.0053121112287044,0.0032913533505052,0.0100635774433612,45
3D U-Net,iou,0.002718556995710518,0.0007228653704987743,0.0026631290093064,0.0016483892686665,0.0050572357140481,45
3D U-Net,precision,0.002720766299818078,0.0007241227567067688,0.0026653218083083,0.0016490507405251,0.0050646169111132,45
3D U-Net,recall,0.7845701005723741,0.03655278251814533,0.7869136333465576,0.6951087117195129,0.8558297753334045,45
SegResNet,dice,0.800488899813758,0.050751303197355054,0.8116980195045471,0.6983473896980286,0.8947435021400452,45
SegResNet,iou,0.6702441559897528,0.07012987046195807,0.6830738186836243,0.5365082621574402,0.8095346689224243,45
SegResNet,precision,0.8267262511783176,0.05334861904123587,0.844822883605957,0.642530083656311,0.9168621301651,45
SegResNet,recall,0.7814439376195271,0.08000363254692709,0.7832129597663879,0.629239022731781,0.9274123311042786,45
