Original_ID,SegResNet_Format
851,Case_0
852,Case_1
853,Case_2
854,Case_3
855,Case_4
856,Case_5
857,Case_6
858,Case_7
859,Case_8
860,Case_9
861,Case_10
862,Case_11
863,Case_12
864,Case_13
865,Case_14
866,Case_15
867,Case_16
868,Case_17
869,Case_18
870,Case_19
871,Case_20
872,Case_21
873,Case_22
874,Case_23
875,Case_24
876,Case_25
877,Case_26
878,Case_27
879,Case_28
880,Case_29
881,Case_30
882,Case_31
883,Case_32
884,Case_33
885,Case_34
886,Case_35
887,Case_36
888,Case_37
889,Case_38
890,Case_39
891,Case_40
892,Case_41
893,Case_42
894,Case_43
895,Case_44
896,Case_45
897,Case_46
898,Case_47
899,Case_48
900,Case_49
901,Case_50
902,Case_51
903,Case_52
904,Case_53
905,Case_54
906,Case_55
907,Case_56
908,Case_57
909,Case_58
910,Case_59
911,Case_60
912,Case_61
913,Case_62
914,Case_63
915,Case_64
916,Case_65
917,Case_66
918,Case_67
919,Case_68
920,Case_69
921,Case_70
922,Case_71
923,Case_72
924,Case_73
925,Case_74
926,Case_75
927,Case_76
928,Case_77
929,Case_78
930,Case_79
931,Case_80
932,Case_81
933,Case_82
934,Case_83
935,Case_84
936,Case_85
937,Case_86
938,Case_87
939,Case_88
940,Case_89
941,Case_90
942,Case_91
943,Case_92
944,Case_93
945,Case_94
946,Case_95
947,Case_96
948,Case_97
949,Case_98
950,Case_99
951,Case_100
952,Case_101
953,Case_102
954,Case_103
955,Case_104
956,Case_105
957,Case_106
958,Case_107
959,Case_108
960,Case_109
961,Case_110
962,Case_111
963,Case_112
964,Case_113
965,Case_114
966,Case_115
967,Case_116
968,Case_117
969,Case_118
970,Case_119
971,Case_120
972,Case_121
973,Case_122
974,Case_123
975,Case_124
976,Case_125
977,Case_126
978,Case_127
979,Case_128
980,Case_129
981,Case_130
982,Case_131
983,Case_132
984,Case_133
985,Case_134
986,Case_135
987,Case_136
988,Case_137
989,Case_138
990,Case_139
991,Case_140
992,Case_141
993,Case_142
994,Case_143
995,Case_144
996,Case_145
997,Case_146
998,Case_147
999,Case_148
1000,Case_149
