case_id,pred_shape,gt_shape,shape_diff,pred_voxels,gt_voxels,pred_affine_det,gt_affine_det,spacing_diff
851,"(340, 340, 136)","(512, 512, 217)","(-172, -172, -81)",30398,117888,-0.05512237548828124,-0.05512237548828124,0.0
852,"(386, 386, 172)","(512, 512, 275)","(-126, -126, -103)",73781,133032,-0.07104682922363283,-0.07104682922363283,0.0
853,"(384, 384, 172)","(512, 512, 275)","(-128, -128, -103)",39837,78540,-0.0703125,-0.0703125,0.0
854,"(326, 326, 172)","(512, 512, 275)","(-186, -186, -103)",38934,97828,-0.05067634582519532,-0.05067634582519532,0.0
855,"(388, 388, 172)","(512, 512, 275)","(-124, -124, -103)",57401,129000,-0.07178497314453124,-0.07178497314453124,0.0
856,"(434, 434, 172)","(512, 512, 275)","(-78, -78, -103)",58583,85263,-0.08981513977050781,-0.08981513977050781,0.0
857,"(358, 358, 172)","(512, 512, 275)","(-154, -154, -103)",62854,145067,-0.06111335754394531,-0.06111335754394531,0.0
858,"(384, 384, 172)","(512, 512, 275)","(-128, -128, -103)",45229,94757,-0.0703125,-0.0703125,0.0
859,"(370, 370, 172)","(512, 512, 275)","(-142, -142, -103)",41243,124965,-0.0652790069580078,-0.0652790069580078,0.0
860,"(366, 366, 172)","(512, 512, 275)","(-146, -146, -103)",64298,130054,-0.06387519836425781,-0.06387519836425781,0.0
