Dataset,Model,Dice,HD95,IoU,Precision,Recall,Specificity,ASSD,CI available?,Source
Primary ImageCAS (N=150),"RASNet (Champion, tau=0.60, TTA, cc3d)",0.7765 ± 0.0695,10.2924 ± 10.4861,0.6396 ± 0.0864,0.8801 ± 0.0530,0.7016 ± 0.0976,0.9998 ± 0.0001,1.5981 ± 1.8235,"YES [0.7654, 0.7876]",metrics_rasnet_200ep.csv
Primary ImageCAS (N=150),"RASNet (Raw Model, tau=0.50, No TTA, No cc3d)",0.7681 ± 0.0596,13.4476 ± 13.7581,0.6271 ± 0.0757,0.8127 ± 0.0792,0.7340 ± 0.0734,UNVERIFIED,2.1855 ± 1.8580,YES,metrics_ablation_step4_raw_model_200ep.csv
Primary ImageCAS (N=150),nnU-Net V2 (tau=0.50),0.7687 ± 0.0668,21.0983 ± 17.1028,0.6289 ± 0.0856,0.7391 ± 0.0967,0.8106 ± 0.0680,0.9997 ± 0.0001,3.0966 ± 2.6419,"YES [0.7580, 0.7794]",metrics_nnu_net_v2_200ep.csv
Primary ImageCAS (N=150),SegResNet (tau=0.50),0.7469 ± 0.0640,31.4775 ± 18.1586,0.6001 ± 0.0788,0.7313 ± 0.0911,0.7713 ± 0.0654,0.9997 ± 0.0001,4.6614 ± 2.7181,"YES [0.7367, 0.7571]",metrics_segresnet_200ep.csv
Primary ImageCAS (N=150),V-Net (tau=0.50),0.7474 ± 0.0633,21.8050 ± 19.1359,0.6006 ± 0.0786,0.7545 ± 0.0982,0.7499 ± 0.0678,0.9997 ± 0.0001,3.1758 ± 2.7710,"YES [0.7373, 0.7575]",metrics_v_net_200ep.csv
Primary ImageCAS (N=150),3D U-Net (tau=0.50),0.5561 ± 0.0458,9.8780 ± 7.1789,0.3865 ± 0.0429,0.6069 ± 0.0646,0.5178 ± 0.0536,0.9995 ± 0.0002,1.6903 ± 1.0444,"YES [0.5488, 0.5634]",metrics_3d_u_net_200ep.csv
External 3D CAS Unseen (N=66),"RASNet (tau=0.60, cc3d)",0.7376 ± 0.0762,15.1187 ± 13.3194,0.5899 ± 0.0922,0.8553 ± 0.0602,0.6595 ± 0.1106,0.9998 ± 0.0001,2.3966 ± 2.2556,"YES [0.7192, 0.7560]",unseen_66_rasnet_case_metrics.csv
External 3D CAS Unseen (N=66),"RASNet Symmetric (tau=0.50, cc3d)",0.7397 ± 0.0793,14.5136 ± 13.1419,0.5929 ± 0.0955,0.8427 ± 0.0622,0.6701 ± 0.1133,0.9998 ± 0.0001,2.3348 ± 2.3004,"YES [0.7205, 0.7589]",unseen_66_rasnet_thresh05_case_metrics.csv
External 3D CAS Unseen (N=66),"SegResNet (tau=0.50, cc3d)",0.7546 ± 0.0776,12.8972 ± 14.3613,0.6117 ± 0.0935,0.8119 ± 0.0802,0.7136 ± 0.1033,0.9997 ± 0.0002,2.2206 ± 3.1653,"YES [0.7359, 0.7733]",unseen_66_segresnet_case_metrics.csv
External 3D CAS Unseen (N=66),"V-Net (tau=0.50, cc3d)",0.7119 ± 0.0970,19.4053 ± 18.2232,0.5610 ± 0.1110,0.8065 ± 0.0927,0.6501 ± 0.1295,0.9997 ± 0.0002,3.5300 ± 4.5993,"YES [0.6885, 0.7353]",unseen_66_vnet_case_metrics.csv
External 3D CAS Unseen (N=66),"nnU-Net (tau=0.50, cc3d)",0.4704 ± 0.1639,48.7010 ± 18.0491,0.3225 ± 0.1400,0.7597 ± 0.0880,0.3720 ± 0.1830,0.9998 ± 0.0001,12.6639 ± 7.6792,"YES [0.4309, 0.5099]",unseen_66_nnunet_case_metrics.csv
External 3D CAS Unseen (N=66),"3D U-Net (tau=0.50, cc3d)",0.5322 ± 0.0452,13.8013 ± 8.7362,0.3639 ± 0.0414,0.6019 ± 0.0541,0.4833 ± 0.0646,0.9995 ± 0.0002,2.4013 ± 1.2565,"YES [0.5213, 0.5431]",unseen_66_3dunet_case_metrics.csv
Repackaged 3D CAS Full Cohort (N=134),"RASNet (tau=0.60, cc3d)",0.7765 ± 0.0626,29.3828 ± 12.8415,0.6387 ± 0.0809,0.8759 ± 0.0457,0.7031 ± 0.0908,0.9998 ± 0.0001,1.5091 ± 1.2711,YES,3d_cas_rasnet_case_metrics.csv
Repackaged 3D CAS Full Cohort (N=134),"SegResNet (tau=0.50, cc3d)",0.7883 ± 0.0637,27.0431 ± 12.2522,0.6548 ± 0.0808,0.8409 ± 0.0738,0.7461 ± 0.0764,0.9998 ± 0.0001,1.3672 ± 1.9873,YES,3d_cas_segresnet_case_metrics.csv
Repackaged 3D CAS Full Cohort (N=134),"V-Net (tau=0.50, cc3d)",0.7669 ± 0.0680,30.9232 ± 13.0082,0.6266 ± 0.0844,0.8424 ± 0.0692,0.7101 ± 0.0901,0.9998 ± 0.0001,1.8849 ± 2.3854,YES,3d_cas_vnet_case_metrics.csv
Repackaged 3D CAS Full Cohort (N=134),"nnU-Net (tau=0.50, cc3d)",0.5574 ± 0.1458,58.1327 ± 17.0327,0.4001 ± 0.1369,0.7925 ± 0.0688,0.4559 ± 0.1743,0.9998 ± 0.0001,7.1870 ± 4.8666,YES,3d_cas_nnunet_case_metrics.csv
Repackaged 3D CAS Full Cohort (N=134),"3D U-Net (tau=0.50, cc3d)",0.0000 ± 0.0000,37.0049 ± 52.3505,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,15.7315 ± 31.5732,YES,3d_cas_3dunet_case_metrics.csv
