Dataset,Model,Metric,N,Mean,Std,Median,Q1_25pct,Q3_75pct,IQR,Min,Max
Primary ImageCAS (N=150),RASNet (Champion),DICE,150,0.7765310346449832,0.06946317666522504,0.7965436245666988,0.7468441232068128,0.82573489965285,0.07889077644603715,0.4643754731263491,0.8739528147089114
Primary ImageCAS (N=150),RASNet (Champion),HD95,150,10.292350919178567,10.486139214472743,6.331990152915655,3.473100162522279,13.6000585470283,10.126958384506022,0.5927501089416944,52.23602792307904
Primary ImageCAS (N=150),RASNet (Champion),IOU,150,0.639553937295464,0.08644205483649385,0.6618805071223991,0.5959706825384092,0.7031930246865099,0.10722234214810067,0.3024017036715103,0.7761245053714072
Primary ImageCAS (N=150),RASNet (Champion),PRECISION,150,0.8800897255324507,0.053035586201164234,0.892033954537607,0.8587895802983541,0.919867431632126,0.06107785133377197,0.5871138164692825,0.9581631450788471
Primary ImageCAS (N=150),RASNet (Champion),RECALL,150,0.7015530338387832,0.09758979553293096,0.7178463282375311,0.6465797662652379,0.7714574543838939,0.12487768811865596,0.3840817450974519,0.8889715527535986
Primary ImageCAS (N=150),RASNet (Champion),CLDICE,150,0.8592289071942889,0.07189650157309838,0.8745934778993555,0.8239632655418136,0.9053590842245207,0.08139581868270707,0.5391923990370737,0.9676950505440322
Primary ImageCAS (N=150),RASNet (Champion),ASD,150,1.5981314487394118,1.823501674257486,0.976799504550099,0.6233068955939454,1.7959964929897647,1.1726895973958193,0.2008422989100603,14.827669857494053
Primary ImageCAS (N=150),SegResNet,DICE,150,0.7469496139493695,0.06397244007026436,0.7551417223485022,0.7060245380340593,0.7981932707611556,0.09216873272709636,0.5077792680589664,0.8503184713375402
Primary ImageCAS (N=150),SegResNet,HD95,150,31.477499129851154,18.15857976477419,29.895475885438596,14.84985836430994,49.101262193152806,34.25140382884287,2.1570327001647605,76.85215179025212
Primary ImageCAS (N=150),SegResNet,IOU,150,0.6000938261518134,0.07884196448726438,0.6066087489619554,0.5456271456896125,0.6641629385277678,0.1185357928381553,0.3402842871633765,0.7396121883655914
Primary ImageCAS (N=150),SegResNet,PRECISION,150,0.7312688946096509,0.09108687158075653,0.7460343182894947,0.6732976183448651,0.8001799866980523,0.12688236835318722,0.4111805868023132,0.8737732145552641
Primary ImageCAS (N=150),SegResNet,RECALL,150,0.771262445170403,0.06536257875333396,0.7803100525634117,0.7405851278283093,0.8246000785691536,0.08401495074084431,0.5868167002562398,0.8979286175772953
Primary ImageCAS (N=150),SegResNet,CLDICE,150,0.7769403204202888,0.08186927581546302,0.7918474309371977,0.730784304223058,0.8378581695326393,0.1070738653095813,0.4549289378410857,0.90798679307248
Primary ImageCAS (N=150),SegResNet,ASD,150,4.661393635637278,2.718139598661815,4.20106257007957,2.875667322358437,5.70219417482555,2.826526852467113,0.7432619992475501,17.081567840675085
Primary ImageCAS (N=150),nnU-Net V2,DICE,150,0.7687338343858354,0.0668259868139977,0.7767702554395748,0.7317829007794845,0.8176994822382624,0.0859165814587779,0.5123204262201015,0.8825058175333306
Primary ImageCAS (N=150),nnU-Net V2,HD95,150,21.098284819159996,17.10280664623898,16.683013248968027,6.493369925354267,31.353441012900042,24.860071087545776,0.869921524191667,61.944946902235706
Primary ImageCAS (N=150),nnU-Net V2,IOU,150,0.6289445615547531,0.08557422524608214,0.6350158452465049,0.5770177868439018,0.6916172918879631,0.11459950504406125,0.3443755196009024,0.7897184892590278
Primary ImageCAS (N=150),nnU-Net V2,PRECISION,150,0.7390529850939773,0.09669442048492495,0.7610207899859665,0.6672849270791416,0.8138306605682494,0.14654573348910782,0.4130804989183331,0.8851010816012826
Primary ImageCAS (N=150),nnU-Net V2,RECALL,150,0.8106226411253697,0.06801927574835766,0.8239191149417442,0.7720314530503518,0.8606922587456818,0.08866080569532997,0.6285735612450157,0.9341092859798996
Primary ImageCAS (N=150),nnU-Net V2,CLDICE,150,0.8201396712789693,0.07658787856566762,0.8344844914785206,0.7706582092715073,0.8742844468973858,0.10362623762587853,0.457381935310707,0.9435843422835052
Primary ImageCAS (N=150),nnU-Net V2,ASD,150,3.096638593619147,2.6418516688531493,2.4725776355357576,1.261206145690036,3.896618608020071,2.635412462330035,0.3146624901716325,14.960333098596294
Primary ImageCAS (N=150),V-Net,DICE,150,0.7474006686128996,0.06332359593279002,0.7587774573300257,0.7061048037646173,0.7933496144640513,0.08724481069943402,0.5411759597954454,0.8609587869805129
Primary ImageCAS (N=150),V-Net,HD95,150,21.80501718125975,19.135931686592492,14.354192352778135,6.697090905819487,34.69828537309927,28.00119446727978,0.955078125,98.56445759571773
Primary ImageCAS (N=150),V-Net,IOU,150,0.600620776017454,0.07864085114464635,0.611315272876107,0.5457219792068772,0.6574810631577725,0.1117590839508954,0.3709672619047067,0.7558627178187831
Primary ImageCAS (N=150),V-Net,PRECISION,150,0.7544931115900744,0.09820567132297575,0.7770838339458737,0.6920720089138163,0.8279021461239011,0.13583013721008486,0.4623228105260608,0.90809988163002
Primary ImageCAS (N=150),V-Net,RECALL,150,0.7498910298868435,0.06777324417512635,0.7579345104703674,0.704847639983682,0.8008138512216557,0.09596621123797366,0.5348944093522515,0.8840378252441525
Primary ImageCAS (N=150),V-Net,CLDICE,150,0.8075356187650445,0.07590106834999441,0.8214261737195638,0.7709410606691991,0.8609066385232684,0.08996557785406933,0.50778548516202,0.9381488633482712
Primary ImageCAS (N=150),V-Net,ASD,150,3.175782724520174,2.7710499117978427,2.402179733134955,1.358181026297516,3.9012335151593835,2.5430524888618677,0.456427210708932,14.277398971175732
Primary ImageCAS (N=150),3D U-Net,DICE,150,0.5560678013963096,0.045752547599722956,0.5656884838700695,0.5299592383826137,0.5888094091931985,0.058850170810584745,0.3794972481279564,0.673229548905099
Primary ImageCAS (N=150),3D U-Net,HD95,150,9.877965869146037,7.178936661826527,8.370004080533525,5.526362077106386,11.72053466719193,6.194172590085545,1.7789355852324304,48.91502726584958
Primary ImageCAS (N=150),3D U-Net,IOU,150,0.38645595047823766,0.04291689843548553,0.3943978956039902,0.36050649383642236,0.4172430160362868,0.056736522199864414,0.2341848834810999,0.5074197637952553
Primary ImageCAS (N=150),3D U-Net,PRECISION,150,0.6069129352555046,0.06456094595027309,0.6189190393161099,0.5684032158482628,0.655981609822209,0.08757839397394618,0.3254693321868147,0.7469571097371587
Primary ImageCAS (N=150),3D U-Net,RECALL,150,0.5177546533919978,0.05363955199008468,0.5220123710462387,0.48639990970434827,0.5528747310187097,0.06647482131436139,0.3466261103231851,0.6169815160877353
Primary ImageCAS (N=150),3D U-Net,CLDICE,150,0.7026560384088886,0.06113952115647979,0.7087545078568478,0.674096111438582,0.7451074025776774,0.07101129113909543,0.4490295249798797,0.8755637699905411
Primary ImageCAS (N=150),3D U-Net,ASD,150,1.6902765024227602,1.0444112955973108,1.4743339364838164,1.1051430098172905,1.9998240521522037,0.8946810423349132,0.5491062361231831,9.157755733917892
External 3D CAS Unseen (N=66),RASNet (tau=0.60),DICE,66,0.7376483278472886,0.0768260074244558,0.7495350290192089,0.6910724332108396,0.7913046530859782,0.10023221987513864,0.4615487921569944,0.8599207239548277
External 3D CAS Unseen (N=66),RASNet (tau=0.60),HD95,66,15.118695750002539,13.421480973102883,10.136201817104874,5.862306516539993,22.73896469876167,16.876658182221675,1.04296875,54.35578245153293
External 3D CAS Unseen (N=66),RASNet (tau=0.60),IOU,66,0.5898914389461046,0.09289093872482714,0.5994053891862245,0.5279711932112927,0.6546768913226051,0.12670569811131238,0.3000087294312775,0.7542639727105747
External 3D CAS Unseen (N=66),RASNet (tau=0.60),PRECISION,66,0.8553355278489071,0.06065313015541777,0.8596000854965304,0.8309106674946372,0.8909891260018437,0.0600784585072065,0.6929118887766621,0.9564575440160464
External 3D CAS Unseen (N=66),RASNet (tau=0.60),RECALL,66,0.6595147182526554,0.11140587008546173,0.6733042847983093,0.5923232835987364,0.7403052130946395,0.14798192949590305,0.3045549204661261,0.8639110293920759
External 3D CAS Unseen (N=66),RASNet (tau=0.60),CLDICE,66,0.8215460461289094,0.07766254223051096,0.8303707192872087,0.7593270421777749,0.8796615627377774,0.12033452056000249,0.5642135642135643,0.9529298924671163
External 3D CAS Unseen (N=66),RASNet (tau=0.60),ASD,66,2.3965695283078627,2.2728642118055675,1.5009876188178515,0.9868715354288884,2.796084009579996,1.8092124741511075,0.4115800098015688,10.91204653482028
External 3D CAS Unseen (N=66),RASNet (tau=0.50),DICE,66,0.7397199805529252,0.07986872451132616,0.7532593144918434,0.6924021456151924,0.7922738664931226,0.09987172087793017,0.4668287019636339,0.8618469030814679
External 3D CAS Unseen (N=66),RASNet (tau=0.50),HD95,66,14.513620730552628,13.242617549870875,8.730757289180364,5.503037126204768,22.082932837123696,16.579895710918926,0.924296673595828,54.31914111676474
External 3D CAS Unseen (N=66),RASNet (tau=0.50),IOU,66,0.5929346222636037,0.09625174126983951,0.6041828408579648,0.5295339557144796,0.656004948994478,0.12647099327999844,0.3044856778636101,0.7572328410078193
External 3D CAS Unseen (N=66),RASNet (tau=0.50),PRECISION,66,0.842749729692084,0.06264668836588971,0.849745874072048,0.814985343195354,0.8810965280480757,0.06611118485272172,0.6723537842080121,0.9488981698414316
External 3D CAS Unseen (N=66),RASNet (tau=0.50),RECALL,66,0.6701446619035721,0.11418846654629952,0.6842610068942713,0.6166344547267246,0.7517035251959572,0.13506907046923255,0.3095617882936771,0.8752376447066594
External 3D CAS Unseen (N=66),RASNet (tau=0.50),CLDICE,66,0.8248294921970377,0.0783007679089365,0.8333033689625937,0.7779696945077381,0.8862848335017808,0.10831513899404266,0.5658607930917544,0.9518954942772976
External 3D CAS Unseen (N=66),RASNet (tau=0.50),ASD,66,2.33484816198119,2.317991851692759,1.4188411590189394,0.9396194463546867,2.679876624042809,1.7402571776881224,0.4050059932854633,10.8317976992648
External 3D CAS Unseen (N=66),SegResNet,DICE,66,0.7546297144970161,0.07818731104385629,0.7729885665173594,0.7161081243001259,0.8093889174279589,0.093280793127833,0.4339961630987545,0.8645418326693227
External 3D CAS Unseen (N=66),SegResNet,HD95,66,12.89721086473487,14.47138091386037,7.624890073070652,3.442651037095688,16.63664957685422,13.193998539758534,0.7773830078026612,73.32023549162106
External 3D CAS Unseen (N=66),SegResNet,IOU,66,0.6117446614749942,0.09419777894531287,0.6299772289501548,0.5577708278860993,0.6798488517487048,0.12207802386260547,0.2771360790261735,0.7614035087719299
External 3D CAS Unseen (N=66),SegResNet,PRECISION,66,0.811864427407141,0.08081544709580318,0.8228728190205006,0.7739778650913668,0.8659179727693589,0.0919401076779921,0.4399399090403967,0.9383709767598872
External 3D CAS Unseen (N=66),SegResNet,RECALL,66,0.7135996065359486,0.10409537618817258,0.7344601382559033,0.6629214072974329,0.7833419733396532,0.12042056604222029,0.3898932163587221,0.8905272365379294
External 3D CAS Unseen (N=66),SegResNet,CLDICE,66,0.8305228293645375,0.09175836187753811,0.8442160356216803,0.790765634456003,0.898963569510095,0.10819793505409203,0.3717888233279262,0.957391927449791
External 3D CAS Unseen (N=66),SegResNet,ASD,66,2.220635391617439,3.1895293172886916,1.235569093026459,0.7600873317995305,2.2021411899270356,1.442053858127505,0.3687082426799329,22.62275837157168
External 3D CAS Unseen (N=66),V-Net,DICE,66,0.7119369326821509,0.09777909191428505,0.7362510162083182,0.6587298427283543,0.7857143367447029,0.1269844940163486,0.4010438349765949,0.8486802362136772
External 3D CAS Unseen (N=66),V-Net,HD95,66,19.405338763446423,18.362814212965503,12.027070514086422,7.080624361840059,24.88317497167173,17.80255060983167,1.0728773585158815,89.61140735727098
